Name,GameNum,opp_Name,opp_GameNum,at-bats,hits,doubles,triples,Homeruns,RBI,SacrificeHits,hit-by-pitch,walks,intentionalWalks,strikeouts,StolenBases,CaughtStealing,GroundedIntoDoublePlays,AwardedFirstOnCatcherInterference,LeftOnBase,PitchersUsed,IndividualEarnedRuns,TeamEarnedRuns,WildPitches,Balks,putouts,assists,errors,PassedBalls,doublePlays,TriplePlays,opp_at-bats,opp_hits,opp_doubles,opp_triples,opp_Homeruns,opp_RBI,opp_SacrificeHits,opp_hit-by-pitch,opp_walks,opp_intentionalWalks,opp_strikeouts,opp_StolenBases,opp_CaughtStealing,opp_GroundedIntoDoublePlays,opp_AwardedFirstOnCatcherInterference,opp_LeftOnBase,opp_PitchersUsed,opp_IndividualEarnedRuns,opp_TeamEarnedRuns,opp_WildPitches,opp_Balks,opp_putouts,opp_assists,opp_errors,opp_PassedBalls,opp_doublePlays,opp_TriplePlays
BRO,96.0,SLN,94.0,33.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,27.0,18.0,0.0,0.0,1.0,0.0,30.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,27.0,13.0,1.0,0.0,1.0,0.0
BRO,97.0,NY1,97.0,37.0,15.0,3.0,1.0,0.0,8.0,0.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,27.0,8.0,2.0,0.0,1.0,0.0,32.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,7.0,4.0,9.0,9.0,0.0,1.0,24.0,5.0,1.0,1.0,0.0,0.0
BRO,98.0,CHN,95.0,32.0,10.0,3.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,6.0,6.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,35.0,9.0,3.0,0.0,2.0,6.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,6.0,0.0,0.0,24.0,13.0,1.0,0.0,1.0,0.0
BRO,99.0,CHN,96.0,26.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,27.0,6.0,0.0,0.0,0.0,0.0,33.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,3.0,1.0,0.0,24.0,12.0,1.0,0.0,2.0,0.0
BRO,100.0,CHN,97.0,40.0,10.0,3.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,5.0,6.0,6.0,1.0,0.0,27.0,14.0,1.0,0.0,0.0,0.0,32.0,8.0,1.0,1.0,2.0,6.0,2.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,4.0,0.0,0.0,27.0,12.0,2.0,0.0,0.0,0.0
BRO,101.0,MLN,99.0,31.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,3.0,9.0,9.0,0.0,0.0,27.0,11.0,2.0,0.0,1.0,0.0,36.0,13.0,1.0,1.0,2.0,9.0,2.0,0.0,3.0,0.0,11.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,27.0,11.0,0.0,1.0,2.0,0.0
BRO,102.0,MLN,100.0,39.0,16.0,2.0,1.0,3.0,7.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,10.0,5.0,13.0,13.0,1.0,0.0,27.0,8.0,1.0,0.0,1.0,0.0,44.0,19.0,6.0,0.0,7.0,13.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,5.0,4.0,7.0,7.0,0.0,0.0,27.0,13.0,0.0,0.0,2.0,0.0
BRO,103.0,MLN,101.0,34.0,10.0,1.0,0.0,3.0,6.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,5.0,14.0,14.0,0.0,0.0,27.0,15.0,0.0,0.0,2.0,0.0,44.0,19.0,2.0,3.0,3.0,14.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,1.0,6.0,6.0,0.0,0.0,27.0,10.0,0.0,1.0,1.0,0.0
BRO,104.0,MLN,102.0,44.0,12.0,1.0,0.0,0.0,2.0,2.0,0.0,13.0,6.0,4.0,1.0,0.0,1.0,0.0,20.0,3.0,1.0,1.0,1.0,0.0,39.0,16.0,0.0,0.0,1.0,0.0,48.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,1.0,0.0,12.0,5.0,2.0,2.0,0.0,0.0,38.0,18.0,0.0,0.0,2.0,0.0
BRO,105.0,SLN,102.0,25.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,27.0,7.0,0.0,0.0,1.0,0.0,31.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,24.0,16.0,0.0,0.0,3.0,0.0
BRO,106.0,SLN,103.0,36.0,11.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,3.0,7.0,7.0,0.0,0.0,27.0,12.0,1.0,0.0,1.0,0.0,37.0,13.0,2.0,1.0,0.0,7.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,2.0,5.0,5.0,2.0,0.0,25.0,14.0,2.0,1.0,1.0,0.0
BRO,107.0,SLN,104.0,31.0,6.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,4.0,13.0,13.0,0.0,0.0,27.0,13.0,0.0,0.0,3.0,0.0,43.0,21.0,3.0,0.0,3.0,13.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,8.0,1.0,4.0,4.0,0.0,0.0,27.0,11.0,0.0,0.0,1.0,0.0
